	latitude	longitude	depth	depthWater	temperature.in.situ	conductivity	salinity	temperature.Wat.Pot	density	oxygen	nitrate	chlorophyllA	chlorophyllA.Wat.Samples	ang.Scat.Coef.470	opt.Back.Scat.Coef.470	back.Scat.Coef.Part	fCDOM	opt.Beam.Att.Coef.660	beam.Att.Coef.Part	PAR.in.situ	PAR.8days.KdPAR1	moon.Phase.Proportion	sea.Ice.Concentration	sea.Ice.Free.Period	sunshine.Duration	PAR.8days.AMODIS	SSTgradientHorizontaSDL	SSTgradient.AMODIS.8D	phi.sat	fCDOM.AMODIS	chlorophyllA.GSM.GlobColour	NPP.VGPM.8days	TSM.8D	POC.8D	PIC.8D	residence.Time	diffuse.Att.Coef.490	part.Back.Scat.Coef.443	CDM.absorption.coef.443	depth.Euph.layer	MDL.Temp	MDL.sigmatheta	DCM	depth.Max.Brunt.Vaisala.Freq	depth.Max.O2	depth.Min.O2	depth.Nitracline	NO2	PO4	NO3.NO2	SiOH4	flux1km24h	flux2km24h
S124MIX	-9.07161666666667	-140.59645	120	119.751858333333	24.8227516666667	54.157306	35.9071183333333	24.7966408333333	24.0899725	172.466433333333	4.19726283333333	0.02388	0.0953246666666667	0.0001665	0.000386	0.00204283333333333	1.90813516666667	0.0497846666666667	0.0351776666666667	NA	4.7e-05	0.39	0	365	705	42.277496	0.113495	26.74112425	2.509824984	NA	0.265331149101257	NA	0.134576193988323	71.3791084289551	0.000164030570886098	2.777778	0.056918	0.00134162208996713	0.0212461519986391	58.8567008972168	97.8333333333333	101.333333333333	28.6666666666667	114	13	193.5	153.333333333333	NA	NA	NA	NA	1.09168244444444	1.09168244444444
S124SUR	-9.14115172413793	-140.523123448276	5	6.35199533103448	26.5594372965517	55.2425547310345	35.3846894482759	26.5578485172414	23.1482238275862	190.32843217931	5.2288415862069	0.137611448275862	0.320793082758621	0.000245931034482759	0.000944124137931034	0.00259506896551724	1.64410322758621	0.122116862068966	0.107509827586207	NA	22.874517537931	0.307310344827586	0	365	704.193103448276	44.9835688068966	0.0963661180555556	26.577890984375	2.509824984	NA	0.256658938064657	568.237	0.124799539200191	71.5832337478112	0.00016270845838429	2.777778	0.0464231172413793	0.00125639992204077	0.0205413627727279	60.0985769469162	90.4413793103448	100.6	39.2620689655172	112.696551724138	14.3862068965517	273.393103448276	237.186206896552	0.16	0.63	6.2	2.52	1.02268898293963	1.03005572643678
S124ZZZ	-9.09276756756757	-140.550943243243	154.58064516129	163.066871529412	22.0928725882353	50.7911798235294	35.3612118235294	22.0673421764706	24.2690540294118	152.240214941176	10.4999	0.0677558823529412	0.177811264705882	0.000189058823529412	0.000547205882352941	0.00220997058823529	2.0085985	0.0663051764705882	0.0516983235294118	NA	0.30935328125	0.354324324324324	0	365	704.405405405405	42.9567675675676	0.0982328857142857	26.6552788642857	2.509824984	NA	0.249145266977516	NA	0.129306083092013	70.4378656954379	0.000163943600381498	2.777778	0.0522136216216216	0.00126765255432425	0.0204367959318129	60.7407991563952	92.5945945945946	98.2972972972973	42.9189189189189	112.189189189189	15.3783783783784	248	225.378378378378	NA	NA	NA	NA	0.935530480392157	0.944127534534535
S125MIX	-8.8993584	-142.5768912	141.04	140.752898	23.64069808	53.389518536	36.27485124	23.61105788	24.72216936	160.790798	3.548865024	-0.00490296	0.00058968	0.00014052	0.000199096	0.001859992	1.895459272	0.030418032	0.01873408	NA	6.3424e-05	0.80352	0	365	706.928	48.69905496	0.10687096	26.703486052	2.2251300981	NA	0.180148285925388	NA	0.0998518883585931	56.3481652221679	9.47876730351707e-05	0	0.043474416	0.00116547820204869	0.014891591720283	68.2185413818359	97.44	98.744	35.296	107.656	26.712	236.416	206.68	NA	NA	NA	NA	0.614132180555556	0.77209915942029
S125SUR	-8.904984	-142.5797664	5	6.3607	26.80604	55.562826	35.42651	26.804695	23.10143	187.3321	5.460123	0.09501	0.246268	0.000211	0.000687	0.002338	1.645425	0.086422	0.074869	NA	26.554936	0.72	0	365	706	48.73371	0.19901616	26.699561194	2.2251300981	NA	0.178932329058647	424.306	0.100268084079027	55.9361068725586	9.18795634352135e-05	0	0.0438	0.00114945525629446	0.0149033423662185	68.410347076416	107.584	109	49.912	119	14	275.416	253.624	0.19	0.56	3.7	1.8	0.749598805333333	0.828145791407407
S125ZZZ	-8.89598205128205	-142.590917948718	312	196.325317142857	19.2220299142857	47.7775875714286	35.2656436285714	19.1931970857143	24.9401115714286	127.140042857143	13.7941548	0.0500614285714286	0.134864428571429	0.00016	0.0003382	0.00200717142857143	2.16450157142857	0.0449694285714286	0.0334465428571429	NA	0.524633294117647	0.747692307692308	0	365	706.307692307692	48.73371	0.163351282051282	26.7054856730769	2.2251300981	NA	0.180812692795044	NA	0.102031834136981	56.6719239063752	9.69752075504331e-05	0	0.0438	0.00115453550227894	0.015095708044007	68.2753227429512	101.74358974359	104.692307692308	47.3589743589744	114.333333333333	14.7179487179487	271.205128205128	238.230769230769	NA	NA	NA	NA	0.720237312757202	0.787716979044834
S126DCM	-11.969	-151.2156	70	70.01675	26.481212	56.198459	36.115687	26.465537	23.728388	187.89325	0.486886	0.1539	0.360058	0.000218	0.000776	0.002433	1.671797	0.070084	0.066792	NA	0.283372	0.01	0	365	710	48.632545	0.24514	26.4638245	2.4308237548	NA	0.121238104999065	NA	NA	44.267541885376	0.000184462893230375	0	0.034482	0.00137571181403473	0.00983874453231692	78.9200286865234	41	52	58	264	55	277	259	NA	NA	NA	NA	0.142555555555556	0.142555555555556
S126SUR	-11.9789557692308	-151.127546153846	5	6.375083	26.68965	56.180181	35.961017	26.688525	23.541342	188.629	-0.016023	0.0404	0.123579	0.000221	0.000795	0.002451	1.541447	0.073123	0.069831	NA	30.061052	0.01	0	365	710	48.3195087884615	0.22044	26.3829586201923	2.4308237548	NA	0.119639817267083	NA	0.0431738513643327	43.8895646608793	0.000182769091854705	0	0.0348516153846154	0.00137636772146484	0.00971315662340762	79.3007475046011	48.3461538461538	55.3269230769231	55.9230769230769	151.211538461538	44.4807692307692	206.346153846154	196.076923076923	0.04	0.36	1.7	1.25	0.142555555555556	0.142555555555556
S126ZZZ	-11.971575	-151.209853571429	201.904761904762	192.750125	21.689725	50.9283745357143	35.7834508928571	21.6596682142857	24.7251071428571	163.919571428571	5.257275	0.0408392857142857	0.121739035714286	0.000160142857142857	0.000373142857142857	0.00203764285714286	1.86785746428571	0.0378886428571429	0.03459625	NA	2.41340353846154	0.00785714285714286	0	365	710.214285714286	48.0303562857143	0.24514	26.4803283035714	2.4308237548	NA	0.111492693956409	NA	0.042891033671119	43.0948311260768	0.000178413695591319	0	0.0339257142857143	0.00131557333640688	0.00950389167493475	83.0200247083391	48.0714285714286	59.3928571428571	61.8571428571429	220.607142857143	43.1071428571429	304.642857142857	287.285714285714	NA	NA	NA	NA	0.142555555555556	0.142555555555556
S127DCM	-6.62979837398374	-152.492769918699	100	99.8750004065041	26.9610507317073	55.8928952845528	35.5124345121951	26.9378946747967	23.1236684552846	184.182534146341	4.27201330894309	0.100236097560976	0.264127577235772	0.000182	0.000516	0.002168	1.69983419512195	0.0499126585365854	0.0449859512195122	NA	0.0207565365853659	0.169105691056911	0	365	719	50.93003	0.195966422764228	27.1479474268293	2.6942197734	NA	0.123765635296581	NA	0.0681049203182139	47.447442682778	0.000129133971335605	3.222222	0.035294	0.000956323158471065	0.0128669536187942	79.0635423427675	74.0813008130081	96.2926829268293	72.8130081300813	152.487804878049	19.0975609756098	183.658536585366	154.089430894309	0.2	0.57	4.5	1.55	1.03987784086799	1.03987784086799
S127MES	-6.6511	-152.4204	800	800.22625	5.500075	33.864992	34.537638	5.4309	27.258038	75.825	39.567084	-0.0072	0	0.000124	0.000117	0.001828	3.12556	0.005994	0.000888	NA	0	0.08	0	365	719	52.157143	0.16747	27.1593145	2.6942197734	NA	0.13041041046381	NA	0.0718871578574181	47.2219848632812	0.000131831722683273	3.222222	0.035517	0.000976687297224998	0.0132456114515662	77.0860137939453	100	127	104	149	15	635	227	NA	NA	NA	NA	0.940409666666667	0.940409666666667
S127SUR	-6.6351203125	-152.45798125	5	6.2129	27.067715	55.821895	35.41223	27.06637	23.00702	188.4359	5.064634	0.08964	0.229331	0.000197	0.00062	0.002271	1.607691	0.072825	0.06783	NA	31.968232015625	0.09125	0	365	719	51.59454584375	0.199294921875	27.1530197441406	2.6942197734	NA	0.127263575181132	NA	0.0707401820109226	47.2906158566475	0.000130418585683856	3.222222	0.0357690703125	0.000969350124250922	0.0130474879151734	78.0561807751656	83.9375	122.171875	89.125	148.9765625	15.5078125	462.484375	236.609375	0.17	0.57	4.8	1.93	0.984888857142857	1.01478051623377
S127ZZZ	-6.62499772727273	-152.514547727273	213.857142857143	223.507695090909	18.4910574772727	46.9985643181818	35.1661045909091	18.4612301363636	25.0034524545455	142.368254545455	14.7859738636364	0.0464686363636364	0.122061454545455	0.00015625	0.000339590909090909	0.00201163636363636	2.10394227272727	0.0361569090909091	0.0311617045454545	NA	0.778730333333333	0.116363636363636	0	365	719	50.9143853636364	0.190234590909091	27.1469545872093	2.6942197734	NA	0.123366268521006	NA	0.0672802966596051	47.5647823593833	0.000130201590350639	3.222222	0.0355071590909091	0.000973474524057978	0.0127386765406382	79.2328095869584	79.0909090909091	122.636363636364	82.3636363636364	150.295454545455	17.0681818181818	417.818181818182	238.318181818182	NA	NA	NA	NA	1.49110292063492	1.29721527106227
S128DCM	0.0229033898305085	-153.706253488372	40	40.109563	26.139288	54.483871	35.146525	26.130163	23.1032	177.673063	3.000673	0.21975	0.460276	0.000235	0.000797	0.002446	1.708381	0.104657	0.093623	NA	0.931985093023256	0.571472868217054	0	365	727	55.1750345891473	0.31764	26.4585805229592	3.1687415413	NA	0.160117611577807	430.8805	0.084831262310577	61.1200901445493	0.000256148372317011	0	0.048334625	0.00106314246185384	0.0164623380775831	73.4620520421701	22	64	43	113	15	376	298	0.28	0.55	5.3	2.74	NA	NA
S128MES	0.0138	-153.6393	857	856.633583	5.195167	33.622583	34.545758	5.12275	27.300783	75.043167	38.008747	-0.0048	0	0.000127	5.2e-05	0.001765	3.282011	0.011084	0.000679	NA	0	0.48	0	365	727	54.344643	0.18269	26.41022875	3.1687415413	NA	0.162286780774593	NA	0.0849760845303535	63.1618804931641	0.000250654047704302	0	0.048565	0.00104368518805131	0.0166932223364711	73.5950088500977	42	71	13	107	13	477	286	NA	NA	NA	NA	NA	NA
S128SUR	0.0110642857142857	-153.679056818182	5	6.281375	26.218438	54.527743	35.129025	26.217237	23.0626879772727	180.67375	2.96409102272727	0.138525	0.320528	0.000239	0.000826	0.002475	1.682422	0.109414	0.09838	NA	29.1390471060606	0.509545454545455	0	365	727	55.2165100530303	0.29789946969697	26.430932125	3.1687415413	NA	0.159585556297591	430.8805	0.0847402093367595	63.3248655145819	0.000252114267354817	0	0.0483247045454545	0.0010400614599789	0.0166482331344124	74.1649818709403	37.2272727272727	70.5606060606061	35.4242424242424	106.954545454545	14.4621212121212	430.984848484848	289.356060606061	0.27	0.54	5.1	2.67	NA	NA
S128ZZZ	0.0173821428571429	-153.678161363636	238.518518518519	217.289405727273	16.0532763409091	44.1983810227273	34.970338	16.0244455454545	25.51679025	106.118560113636	17.39455475	0.04044375	0.0940481590909091	0.000172727272727273	0.000367272727272727	0.00203940909090909	2.40561334090909	0.0398657272727273	0.0290027954545455	NA	0.429492095238095	0.511818181818182	0	365	727	55.13652225	0.268545	26.42905	3.1687415413	NA	0.162298262119293	NA	0.0845328362827951	62.537955197421	0.000250051941706757	0	0.04834675	0.00107459088559897	0.0166111717381599	73.2691039172086	33.8181818181818	68.5909090909091	30.9090909090909	108.909090909091	14.1818181818182	427.590909090909	291.090909090909	NA	NA	NA	NA	1.603752	1.68507057777778
